Vraw,Vcomputed,Vcali,Error
8,4,7,-42.86
8,4,7,-42.86
3,1,3,-66.67
7,4,6,-33.33
7,4,6,-33.33
7,4,6,-33.33
6,3,5,-40.00
6,3,5,-40.00
7,4,6,-33.33
7,4,6,-33.33
7,4,6,-33.33
7,4,6,-33.33
6,3,5,-40.00
7,4,6,-33.33
5,3,4,-25.00
6,3,5,-40.00
7,4,6,-33.33
9,5,7,-28.57
7,4,6,-33.33
5,3,4,-25.00
5,3,4,-25.00
8,4,7,-42.86
6,3,5,-40.00
7,4,6,-33.33
5,3,4,-25.00
7,4,6,-33.33
6,3,5,-40.00
7,4,6,-33.33
19,11,15,-26.67
7,4,6,-33.33
6,3,5,-40.00
4,2,4,-50.00
10,6,8,-25.00
4,2,4,-50.00
7,4,6,-33.33
7,4,6,-33.33
8,4,7,-42.86
6,3,5,-40.00
7,4,6,-33.33
16,9,13,-30.77
16,9,13,-30.77
7,4,6,-33.33
5,3,4,-25.00
6,3,5,-40.00
8,4,7,-42.86
5,3,4,-25.00
5,3,4,-25.00
7,4,6,-33.33
5,3,4,-25.00
7,4,6,-33.33
8,4,7,-42.86
6,3,5,-40.00
7,4,6,-33.33
8,4,7,-42.86
7,4,6,-33.33
6,3,5,-40.00
4,2,4,-50.00
7,4,6,-33.33
6,3,5,-40.00
6,3,5,-40.00
7,4,6,-33.33
9,5,7,-28.57
5,3,4,-25.00
6,3,5,-40.00
16,9,13,-30.77
7,4,6,-33.33
8,4,7,-42.86
7,4,6,-33.33
7,4,6,-33.33
5,3,4,-25.00
5,3,4,-25.00
8,4,7,-42.86
4,2,4,-50.00
2,1,2,-50.00
8,4,7,-42.86
7,4,6,-33.33
20,12,16,-25.00
6,3,5,-40.00
8,4,7,-42.86
5,3,4,-25.00
7,4,6,-33.33
6,3,5,-40.00
8,4,7,-42.86
7,4,6,-33.33
19,11,15,-26.67
6,3,5,-40.00
8,4,7,-42.86
4,2,4,-50.00
1,0,0,+0.00
9,5,7,-28.57
7,4,6,-33.33
6,3,5,-40.00
7,4,6,-33.33
16,9,13,-30.77
5,3,4,-25.00
1,0,0,+0.00
19,11,15,-26.67
20,12,16,-25.00
29,17,23,-26.09
140,85,110,-22.73
252,153,197,-22.34
333,203,259,-21.62
408,249,317,-21.45
475,289,369,-21.68
575,351,446,-21.30
664,405,514,-21.21
718,438,555,-21.08
781,476,603,-21.06
846,516,653,-20.98
922,562,711,-20.96
987,602,760,-20.79
1067,651,822,-20.80
1133,691,871,-20.67
1198,731,920,-20.54
1270,775,976,-20.59
1336,815,1026,-20.57
1402,855,1075,-20.47
1463,893,1122,-20.41
1513,923,1160,-20.43
1583,966,1212,-20.30
1626,992,1244,-20.26
1687,1029,1291,-20.29
1740,1062,1330,-20.15
1786,1090,1367,-20.26
1870,1141,1428,-20.10
1929,1177,1473,-20.10
2013,1228,1538,-20.16
2059,1257,1571,-19.99
2087,1274,1591,-19.92
2119,1293,1617,-20.04
2141,1307,1633,-19.96
2190,1336,1669,-19.95
2219,1354,1690,-19.88
2250,1373,1714,-19.89
2287,1396,1742,-19.86
2330,1422,1774,-19.84
2375,1449,1806,-19.77
2395,1462,1822,-19.76
2414,1473,1836,-19.77
2464,1504,1874,-19.74
2477,1512,1883,-19.70
2521,1539,1915,-19.63
2526,1542,1919,-19.65
2544,1553,1933,-19.66
2571,1569,1953,-19.66
2620,1599,1988,-19.57
2654,1620,2014,-19.56
2684,1638,2036,-19.55
2717,1658,2059,-19.48
2762,1686,2093,-19.45
2798,1708,2120,-19.43
2830,1727,2142,-19.37
2863,1747,2167,-19.38
2891,1764,2186,-19.30
2944,1797,2225,-19.24
2987,1823,2256,-19.19
3018,1842,2278,-19.14
3038,1854,2294,-19.18
3055,1865,2306,-19.12
3083,1882,2325,-19.05
3101,1893,2338,-19.03
3133,1912,2361,-19.02
3176,1938,2391,-18.95
3211,1960,2417,-18.91
3260,1990,2452,-18.84
3292,2009,2474,-18.80
3305,2017,2482,-18.73
3341,2039,2509,-18.73
3373,2059,2530,-18.62
3403,2077,2551,-18.58
3435,2097,2573,-18.50
3487,2128,2610,-18.47
3533,2156,2640,-18.33
3559,2172,2659,-18.32
3592,2192,2680,-18.21
3624,2212,2702,-18.13
3675,2243,2738,-18.08
3694,2255,2749,-17.97
3708,2263,2759,-17.98
3738,2282,2779,-17.88
3760,2295,2792,-17.80
3790,2313,2814,-17.80
3821,2332,2834,-17.71
3850,2350,2853,-17.63
3821,2332,2834,-17.71
3799,2319,2819,-17.74
3808,2324,2825,-17.73
3787,2311,2812,-17.82
3802,2321,2821,-17.72
3790,2313,2814,-17.80
3787,2311,2812,-17.82
3800,2319,2820,-17.77
3853,2352,2855,-17.62
3902,2382,2887,-17.49
3963,2419,2926,-17.33
4058,2477,2987,-17.07
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
4095,2500,3008,-16.89
